Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
267,DR. RATTAN SINGH AJNALA,Khadoor Sahib,SAD,1,Graduate Professional,"Rs 1,87,74,102  ~ 1 Crore+",Rs 0  ~
271,ARUN SUBHASHCHANDRA YADAV,Khandwa,INC,1,Graduate,"Rs 5,32,89,688  ~ 5 Crore+","Rs 2,75,62,966  ~ 2 Crore+"
277,Babu Lal Marandi,Kodarma,JVM(P),1,Graduate,"Rs 21,37,675  ~ 21 Lacs+",Rs 0  ~
296,RANEE NARAH,Lakhimpur,INC,1,Graduate,"Rs 5,39,76,290  ~ 5 Crore+",Rs 0  ~
299,AAWALE JAYWANT GANGARAM,Latur,INC,1,10th Pass,"Rs 3,04,85,766  ~ 3 Crore+",Rs 0  ~
306,SHARAD YADAV,Madhepura,JD(U),1,Graduate Professional,"Rs 1,41,07,050  ~ 1 Crore+",Rs 0  ~
318,SARVEY SATYANARAYANA,Malkajgiri,INC,1,Graduate Professional,"Rs 1,01,12,521  ~ 1 Crore+","Rs 1,16,848  ~ 1 Lacs+"
324,JAYANT K SINGH,Mathura,RLD,1,Post Graduate,"Rs 3,02,04,219  ~ 3 Crore+","Rs 2,88,327  ~ 2 Lacs+"
328,MANIAN O.S,Mayiladuthurai,ADMK,1,12th Pass,"Rs 86,35,089  ~ 86 Lacs+","Rs 20,00,000  ~ 20 Lacs+"
345,ABDUL MANNAN HOSSAIN,Murshidabad,INC,1,Graduate,"Rs 17,09,788  ~ 17 Lacs+","Rs 10,06,391  ~ 10 Lacs+"
353,YASHVIR SINGH,Nagina,SP,1,12th Pass,"Rs 7,84,562  ~ 7 Lacs+",Rs 0  ~
361,S.P.Y.REDDY,Nandyal,INC,1,Graduate Professional,"Rs 9,28,21,000  ~ 9 Crore+",Rs 0  ~
368,AJAY MAKAN,New Delhi,INC,1,Post Graduate,"Rs 4,01,48,040  ~ 4 Crore+","Rs 97,120  ~ 97 Thou+"
374,RAJEN GOHAIN,Nowgong,BJP,1,Graduate Professional,"Rs 1,02,10,891  ~ 1 Crore+","Rs 7,40,165  ~ 7 Lacs+"
381,BADRI RAM,Pali,INC,1,Literate,"Rs 6,02,43,814  ~ 6 Crore+","Rs 4,98,169  ~ 4 Lacs+"
385,RANJAN  PRASAD YADAV,Pataliputra,JD(U),1,Doctorate,"Rs 1,53,19,000  ~ 1 Crore+",Rs 0  ~
399,KALMADI SURESH,Pune,INC,1,Post Graduate,"Rs 12,81,65,624  ~ 12 Crore+",Rs 0  ~
405,S Pakkirappa,Raichur,BJP,1,5th Pass,"Rs 77,36,230  ~ 77 Lacs+",Rs 0  ~
406,ANANT GEETE,Raigad,SHS,1,10th Pass,"Rs 85,55,617  ~ 85 Lacs+",Rs 0  ~
414,Madhusudan Yadav,Rajnandgaon,BJP,1,12th Pass,"Rs 11,65,680  ~ 11 Lacs+",Rs 0  ~
418,WASNIK MUKUL BALKRISHNA,Ramtek,INC,1,Post Graduate,"Rs 31,11,932  ~ 31 Lacs+",Rs 0  ~
420,SUBODH KANT SAHAY,Ranchi,INC,1,Graduate,"Rs 2,71,79,918  ~ 2 Crore+",Rs 0  ~
422,DR.NILESH NARAYAN RANE,Ratnagiri Sindhudurg,INC,1,Doctorate,"Rs 3,05,61,862  ~ 3 Crore+",Rs 0  ~
434,PRATIK PRAKASHBAPU PATIL,Sangli,INC,1,Others,"Rs 2,21,37,000  ~ 2 Crore+","Rs 13,58,000  ~ 13 Lacs+"
459,OmPrakashYadav,Siwan,IND,1,Graduate,"Rs 30,32,500  ~ 30 Lacs+",Rs 0  ~
471,DARSNABEN VIKRAMBHAI JARDOS,Surat,BJP,1,Graduate,"Rs 90,21,338  ~ 90 Lacs+","Rs 3,95,000  ~ 3 Lacs+"
480,Shashi Tharoor,Thiruvananthapuram,INC,1,Doctorate,"Rs 21,24,42,472  ~ 21 Crore+",Rs 0  ~
500,ANNUTANDON,Unnao,INC,1,Graduate,"Rs 42,13,52,753  ~ 42 Crore+",Rs 0  ~
503,BALKRISHNA KHANDERAO SHUKLA,Vadodara,BJP,1,Graduate,"Rs 26,62,058  ~ 26 Lacs+","Rs 2,16,512  ~ 2 Lacs+"
505,BAIDYANATH PRASAD MAHTO,Valmiki Nagar,JD(U),1,10th Pass,"Rs 44,28,802  ~ 44 Lacs+","Rs 5,20,445  ~ 5 Lacs+"
