,Sno_x,Candidate_x,Constituency,Party_x,Total Expenses in election,S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Total Sittings,No. of days member signed the register,Sno_y,Candidate_y,Party_y,Criminal Case,Education,Total Assets,Liabilities
251,291,NARENDRA SINGH TOMAR,Morena,BJP,"Rs 11,12,924 ~ 11 Lacs+",418,477,Shri  Narendra Singh  Tomar                                             ,15,2,Madhya Pradesh                                              ,26,16,338,NARENDRA SINGH TOMAR,BJP,0,Graduate,"Rs 34,53,203  ~ 34 Lacs+","Rs 17,80,000  ~ 17 Lacs+"
252,299,ABDUL MANNAN HOSSAIN,Murshidabad,INC,"Rs 12,85,460 ~ 12 Lacs+",125,172,Shri  Abdul Mannan  Hossain                                           ,15,2,West Bengal                                                 ,26,16,345,ABDUL MANNAN HOSSAIN,INC,1,Graduate,"Rs 17,09,788  ~ 17 Lacs+","Rs 10,06,391  ~ 10 Lacs+"
253,300,KADEER RANA,Muzaffarnagar,BSP,"Rs 11,56,040 ~ 11 Lacs+",304,359,Shri  Kadir  Rana                                              ,15,2,Uttar Pradesh                                               ,26,8,346,KADEER RANA,BSP,4,Literate,"Rs 5,84,51,906  ~ 5 Crore+",Rs 0  ~
254,301,ADAGUR H. VISWANATH,Mysore,INC,"Rs 15,87,295 ~ 15 Lacs+",134,181,Shri  Adagooru  Vishwanath                                        ,15,2,Karnataka                                                   ,26,21,348,ADAGUR H. VISWANATH,INC,0,Graduate Professional,"Rs 2,82,91,172  ~ 2 Crore+","Rs 73,67,061  ~ 73 Lacs+"
255,302,Pradeep Kumar Majhi,Nabarangpur,INC,"Rs 7,97,695 ~ 7 Lacs+",218,271,Shri  Pradeep  Majhi                                             ,15,2,Orissa                                                      ,26,23,349,Pradeep Kumar Majhi,INC,0,Graduate,"Rs 8,50,000  ~ 8 Lacs+","Rs 3,45,830  ~ 3 Lacs+"
256,304,VIJAYAN A K S,Nagapattinam,DMK,"Rs 17,25,895 ~ 17 Lacs+",149,197,Shri  A.K.S.  Vijayan                                           ,15,2,Tamil Nadu                                                  ,26,17,350,VIJAYAN A K S,DMK,0,12th Pass,"Rs 72,05,000  ~ 72 Lacs+","Rs 11,27,000  ~ 11 Lacs+"
257,305,DR JYOTI MIRDHA,Nagaur,INC,"Rs 12,73,931 ~ 12 Lacs+",120,167,Dr.  Jyoti  Mirdha                                            ,15,2,Rajasthan                                                   ,26,25,352,DR JYOTI MIRDHA,INC,0,Graduate Professional,"Rs 3,90,39,915  ~ 3 Crore+",Rs 0  ~
258,306,YASHVIR SINGH,Nagina,SP,"Rs 20,98,107 ~ 20 Lacs+",300,355,Shri  Yashvir  Singh                                             ,15,2,Uttar Pradesh                                               ,26,24,353,YASHVIR SINGH,SP,1,12th Pass,"Rs 7,84,562  ~ 7 Lacs+",Rs 0  ~
259,307,MUTTEMWAR VILASRAO BABURAOJI,Nagpur,INC,"Rs 17,40,208 ~ 17 Lacs+",61,100,Shri  Vilasrao Baburao  Muttemwar                                         ,15,2,Maharashtra                                                 ,26,25,354,MUTTEMWAR VILASRAO BABURAOJI,INC,0,Graduate,"Rs 1,53,02,294  ~ 1 Crore+","Rs 27,56,726  ~ 27 Lacs+"
260,308,K.C. SINGH BABA,Nainital-Udhamsingh Nagar,INC,"Rs 22,37,714 ~ 22 Lacs+",49,84,Shri  K.C.  Singh Baba                                        ,15,2,Uttarakhand                                                 ,26,18,355,K.C. SINGH BABA,INC,0,12th Pass,"Rs 4,39,87,049  ~ 4 Crore+","Rs 6,49,024  ~ 6 Lacs+"
261,309,KAUSHALENDRA KUMAR,Nalanda,JD(U),"Rs 19,56,675 ~ 19 Lacs+",387,444,Shri  Kaushalendra  Kumar                                             ,15,2,Bihar                                                       ,26,26,356,KAUSHALENDRA KUMAR,JD(U),0,12th Pass,"Rs 71,33,058  ~ 71 Lacs+","Rs 2,27,065  ~ 2 Lacs+"
262,311,KHATGAONK PATIL BHASKARRAO BAPURAO,Nanded,INC,"Rs 20,14,275 ~ 20 Lacs+",87,132,Shri  Bhaskarrao  Patil  Khatgaonkar  ,15,2,Maharashtra                                                 ,26,18,359,KHATGAONK PATIL BHASKARRAO BAPURAO,INC,4,Graduate,"Rs 6,24,16,000  ~ 6 Crore+","Rs 2,60,000  ~ 2 Lacs+"
263,312,VENUGOPALA REDDY MODUGULA,Narasaraopet,TDP,"Rs 15,21,093 ~ 15 Lacs+",362,418,Shri  Modugula Venugopala  Reddy                                             ,15,2,Andhra Pradesh                                              ,26,15,362,VENUGOPALA REDDY MODUGULA,TDP,2,Graduate Professional,"Rs 2,74,93,309  ~ 2 Crore+","Rs 51,964  ~ 51 Thou+"
264,313,SAMEER BHUJBAL,Nashik,NCP,"Rs 21,99,595 ~ 21 Lacs+",146,194,Shri  Sameer  Bhujbal                                           ,15,2,Maharashtra                                                 ,26,13,364,SAMEER BHUJBAL,NCP,0,10th Pass,"Rs 6,66,60,039  ~ 6 Crore+",Rs 0  ~
265,314,CHANDRAKANT RAGHUNATH PATIL,Navsari,BJP,"Rs 17,02,229 ~ 17 Lacs+",467,526,Shri  C. R.  Patil                                             ,15,2,Gujarat                                                     ,26,26,365,CHANDRAKANT RAGHUNATH PATIL,BJP,6,10th Pass,"Rs 24,20,83,697  ~ 24 Crore+","Rs 4,22,08,512  ~ 4 Crore+"
266,316,Madhu Yaskhi Goud,Nizamabad,INC,"Rs 13,76,003 ~ 13 Lacs+",40,76,Shri  Madhu Goud  Yaskhi                                            ,15,2,Andhra Pradesh                                              ,26,24,370,Madhu Yaskhi Goud,INC,0,Post Graduate,"Rs 11,91,08,338  ~ 11 Crore+","Rs 1,54,22,084  ~ 1 Crore+"
267,317,SHRIPAD YESSO NAIK,North Goa,BJP,"Rs 9,28,846 ~ 9 Lacs+",423,481,Shri  Shripad Yesso  Naik                                              ,15,2,Goa                                                         ,26,21,372,SHRIPAD YESSO NAIK,BJP,0,Graduate,"Rs 98,97,462  ~ 98 Lacs+","Rs 9,12,582  ~ 9 Lacs+"
268,320,THANGSO BAITE,Outer Manipur,INC,"Rs 7,23,242 ~ 7 Lacs+",217,270,Shri  Thangso  Baite                                             ,15,2,Manipur                                                     ,26,26,377,THANGSO BAITE,INC,0,Post Graduate,"Rs 17,78,418  ~ 17 Lacs+","Rs 8,80,000  ~ 8 Lacs+"
269,321,JADHAV BALIRAM SUKUR,Palghar,BVA,"Rs 10,69,653 ~ 10 Lacs+",206,259,Shri   Baliram  Jadhav                                          ,15,2,Maharashtra                                                 ,26,26,380,JADHAV BALIRAM SUKUR,BVA,0,8th Pass,"Rs 23,99,053  ~ 23 Lacs+",Rs 0  ~
270,322,BADRI RAM,Pali,INC,"Rs 13,09,655 ~ 13 Lacs+",185,235,Shri  Badri Ram  Jakhar                                            ,15,2,Rajasthan                                                   ,26,24,381,BADRI RAM,INC,1,Literate,"Rs 6,02,43,814  ~ 6 Crore+","Rs 4,98,169  ~ 4 Lacs+"
271,323,PRABHATSINH PRATAPSINH CHAUHAN,Panchmahal,BJP,"Rs 14,30,397 ~ 14 Lacs+",462,520,Shri  Prabhatsinh  Pratapsinh Chauhan                                ,15,2,Gujarat                                                     ,26,18,382,PRABHATSINH PRATAPSINH CHAUHAN,BJP,3,10th Pass,"Rs 72,55,000  ~ 72 Lacs+",Rs 0  ~
272,324,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,"Rs 13,58,692 ~ 13 Lacs+",376,432,Adv.   Ganeshrao  Nagorao Dudhgaonkar                               ,15,2,Maharashtra                                                 ,26,22,383,ADV. DUDHGAONKAR GANESHRAO NAGORAO,SHS,0,Graduate Professional,"Rs 2,81,11,720  ~ 2 Crore+",Rs 0  ~
273,325,DR. SANJAY JAISWAL,Paschim Champaran,BJP,"Rs 21,15,647 ~ 21 Lacs+",461,519,Dr.  Sanjay  Jaiswal                                           ,15,2,Bihar                                                       ,26,24,384,DR. SANJAY JAISWAL,BJP,2,Post Graduate,"Rs 1,09,50,474  ~ 1 Crore+","Rs 11,69,173  ~ 11 Lacs+"
274,326,JAGDISHBHAI MOTIJI THAKORE,Patan,INC,"Rs 18,25,191 ~ 18 Lacs+",133,180,Shri  Jagdish  Thakor                                            ,15,2,Gujarat                                                     ,26,15,386,JAGDISHBHAI MOTIJI THAKORE,INC,0,10th Pass,"Rs 33,89,298  ~ 33 Lacs+","Rs 11,58,381  ~ 11 Lacs+"
275,327,Anto Antony,Pathanamthitta,INC,"Rs 17,31,926 ~ 17 Lacs+",195,247,Shri  Anto  Antony                                            ,15,2,Kerala                                                      ,26,24,387,Anto Antony,INC,0,Graduate,"Rs 14,24,205  ~ 14 Lacs+","Rs 17,06,713  ~ 17 Lacs+"
276,328,PRENEET KAUR,Patiala,INC,"Rs 14,38,708 ~ 14 Lacs+",16,48,Smt.    Preneet Kaur                                      ,15,2,Punjab                                                      ,26,0,388,PRENEET KAUR,INC,0,Graduate,"Rs 42,30,43,438  ~ 42 Crore+",Rs 0  ~
277,330,KAPIL MUNI KARWARIYA,Phulpur,BSP,"Rs 16,38,746 ~ 16 Lacs+",302,357,Shri  Kapil Muni  Karwariya                                         ,15,2,Uttar Pradesh                                               ,26,23,392,KAPIL MUNI KARWARIYA,BSP,4,Graduate Professional,Nil,Rs 0  ~
278,331,FEROZE VARUN GANDHI,Pilibhit,BJP,"Rs 17,78,475 ~ 17 Lacs+",383,439,Shri    Varun  Gandhi                                            ,15,2,Uttar Pradesh                                               ,26,15,393,FEROZE VARUN GANDHI,BJP,6,Graduate,"Rs 4,92,67,810  ~ 4 Crore+",Rs 0  ~
279,332,VITTHALBHAI HANSRAJBHAI RADADIYA,Porbandar,INC,"Rs 20,10,851 ~ 20 Lacs+",129,176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya                           ,15,2,Gujarat                                                     ,26,8,397,VITTHALBHAI HANSRAJBHAI RADADIYA,INC,16,Graduate,"Rs 2,06,75,722  ~ 2 Crore+",Rs 0  ~
280,333,RAJKUMARI RATNA SINGH,Pratapgarh,INC,"Rs 21,01,388 ~ 21 Lacs+",92,137,Rajkumari  Ratna  Singh                                             ,15,2,Uttar Pradesh                                               ,26,22,398,RAJKUMARI RATNA SINGH,INC,5,Graduate,"Rs 67,82,70,725  ~ 67 Crore+","Rs 10,02,000  ~ 10 Lacs+"
281,334,Pinaki Misra,Puri,BJD,"Rs 8,71,753 ~ 8 Lacs+",344,399,Shri  Pinaki  Misra                                             ,15,2,Orissa                                                      ,26,20,400,Pinaki Misra,BJD,0,Graduate,"Rs 29,69,00,000  ~ 29 Crore+",Rs 0  ~
282,335,UDAY SINGH ALIAS PAPPU SINGH,Purnia,BJP,"Rs 8,30,049 ~ 8 Lacs+",455,513,Shri  Uday  Singh                                             ,15,2,Bihar                                                       ,26,17,401,UDAY SINGH ALIAS PAPPU SINGH,BJP,2,12th Pass,"Rs 41,91,30,669  ~ 41 Crore+","Rs 14,10,120  ~ 14 Lacs+"
283,336,Narahari Mahato,Purulia,AIFB,"Rs 16,04,445 ~ 16 Lacs+",341,396,Shri  Narahari  Mahato                                            ,15,2,West Bengal                                                 ,26,20,402,Narahari Mahato,AIFB,0,Post Graduate,"Rs 30,86,000  ~ 30 Lacs+","Rs 4,00,000  ~ 4 Lacs+"
284,339,ANANT GEETE,Raigad,SHS,"Rs 15,13,192 ~ 15 Lacs+",313,368,Shri  Anant Gangaram  Geete                                             ,15,2,Maharashtra                                                 ,26,22,406,ANANT GEETE,SHS,1,10th Pass,"Rs 85,55,617  ~ 85 Lacs+",Rs 0  ~
285,340,Deepa Dasmunsi,Raiganj,INC,"Rs 16,13,946 ~ 16 Lacs+",32,68,Smt.  Deepa  Dasmunsi                                          ,15,2,West Bengal                                                 ,26,0,407,Deepa Dasmunsi,INC,0,Post Graduate,"Rs 1,25,14,145  ~ 1 Crore+",Rs 0  ~
286,341,Vishu Deo Sai,Raigarh,BJP,"Rs 14,43,034 ~ 14 Lacs+",421,479,Shri  Vishnu Deo  Sai                                               ,15,2,Chhattisgarh                                                ,26,15,408,Vishu Deo Sai,BJP,0,10th Pass,"Rs 23,02,000  ~ 23 Lacs+",Rs 0  ~
287,343,NARAYANSINGH AMLABE,Rajgarh,INC,"Rs 20,90,485 ~ 20 Lacs+",200,252,Shri  Narayan Singh  Amlabe                                            ,15,2,Madhya Pradesh                                              ,26,25,411,NARAYANSINGH AMLABE,INC,0,12th Pass,"Rs 38,08,133  ~ 38 Lacs+","Rs 1,61,617  ~ 1 Lacs+"
288,344,KUNVARJIBHAI MOHANBHAI BAVALIYA,Rajkot,INC,"Rs 13,83,907 ~ 13 Lacs+",128,175,Shri  Kuvarjibhai Mohanbhai  Bavalia                                           ,15,2,Gujarat                                                     ,26,21,412,KUNVARJIBHAI MOHANBHAI BAVALIYA,INC,3,Graduate,"Rs 45,60,852  ~ 45 Lacs+","Rs 5,99,799  ~ 5 Lacs+"
289,345,Madhusudan Yadav,Rajnandgaon,BJP,"Rs 18,54,221 ~ 18 Lacs+",477,536,Shri  Madhusudan  Yadav                                             ,15,2,Chhattisgarh                                                ,26,10,414,Madhusudan Yadav,BJP,1,12th Pass,"Rs 11,65,680  ~ 11 Lacs+",Rs 0  ~
290,346,GOPAL SINGH,Rajsamand,INC,"Rs 5,10,778 ~ 5 Lacs+",182,232,Shri  Gopal  Singh  Shekhawat                                  ,15,2,Rajasthan                                                   ,26,23,415,GOPAL SINGH,INC,0,Graduate Professional,"Rs 41,06,255  ~ 41 Lacs+","Rs 4,89,648  ~ 4 Lacs+"
291,348,JAYA PRADA NAHATA,Rampur,SP,"Rs 13,20,110 ~ 13 Lacs+",328,382,Smt.  Jaya Prada  Nahata                                            ,15,2,Uttar Pradesh                                               ,26,15,417,JAYA PRADA NAHATA,SP,0,12th Pass,"Rs 13,14,90,118  ~ 13 Crore+","Rs 13,98,995  ~ 13 Lacs+"
292,350,SUCHARU RANJAN HALDAR,Ranaghat,AITC,"Rs 21,78,194 ~ 21 Lacs+",286,340,Dr.  Sucharu Ranjan  Haldar                                            ,15,2,West Bengal                                                 ,26,22,419,SUCHARU RANJAN HALDAR,AITC,0,Post Graduate,"Rs 1,08,82,896  ~ 1 Crore+",Rs 0  ~
293,351,SUBODH KANT SAHAY,Ranchi,INC,"Rs 19,18,174 ~ 19 Lacs+",80,125,Shri  Subodh Kant  Sahay                                             ,15,2,Jharkhand                                                   ,26,0,420,SUBODH KANT SAHAY,INC,1,Graduate,"Rs 2,71,79,918  ~ 2 Crore+",Rs 0  ~
294,354,HARIBHAU MADHAV JAWALE,Raver,BJP,"Rs 14,36,404 ~ 14 Lacs+",451,509,Shri  Haribhau  Jawale                                            ,15,2,Maharashtra                                                 ,26,20,423,HARIBHAU MADHAV JAWALE,BJP,0,Graduate,"Rs 78,42,881  ~ 78 Lacs+","Rs 6,29,917  ~ 6 Lacs+"
295,355,DEORAJ SINGH PATEL,Rewa,BSP,"Rs 18,35,146 ~ 18 Lacs+",291,345,Shri  Deoraj Singh  Patel                                             ,15,2,Madhya Pradesh                                              ,26,18,424,DEORAJ SINGH PATEL,BSP,0,Post Graduate,"Rs 3,08,45,000  ~ 3 Crore+","Rs 49,61,271  ~ 49 Lacs+"
296,356,PAKAURI LAL,Robertsganj,SP,"Rs 13,64,551 ~ 13 Lacs+",287,341,Shri  Pakauri  Lal                                               ,15,2,Uttar Pradesh                                               ,26,24,425,PAKAURI LAL,SP,0,Literate,"Rs 17,62,515  ~ 17 Lacs+",Rs 0  ~
297,357,DEEPENDER SINGH,Rohtak,INC,"Rs 14,15,651 ~ 14 Lacs+",88,133,Shri  Deepender Singh  Hooda                                             ,15,2,Haryana                                                     ,26,17,426,DEEPENDER SINGH,INC,0,Post Graduate,"Rs 6,53,67,032  ~ 6 Crore+",Rs 0  ~
298,358,MAHENDRASINH PRUTHVISINH CHAUHAN,Sabarkantha,BJP,"Rs 14,34,547 ~ 14 Lacs+",476,535,Shri  Chauhan  Mahendrasinh                                      ,15,2,Gujarat                                                     ,26,26,427,MAHENDRASINH PRUTHVISINH CHAUHAN,BJP,0,Graduate Professional,"Rs 88,42,370  ~ 88 Lacs+","Rs 1,61,190  ~ 1 Lacs+"
299,360,JAGDISH SINGH RANA,Saharanpur,BSP,"Rs 9,46,500 ~ 9 Lacs+",240,294,Shri  Jagdish Singh  Rana                                              ,15,2,Uttar Pradesh                                               ,26,25,428,JAGDISH SINGH RANA,BSP,0,Graduate,"Rs 1,88,67,277  ~ 1 Crore+","Rs 2,98,187  ~ 2 Lacs+"
300,361,SEMMALAI S,Salem,ADMK,"Rs 7,83,049 ~ 7 Lacs+",236,290,Shri  S.  Semmalai                                          ,15,2,Tamil Nadu                                                  ,26,24,429,SEMMALAI S,ADMK,2,Graduate Professional,"Rs 4,62,20,339  ~ 4 Crore+","Rs 59,000  ~ 59 Thou+"
301,362,RAMASHANKAR RAJBHAR,Salempur,BSP,"Rs 8,74,131 ~ 8 Lacs+",292,346,Shri  Ramashankar  Rajbhar                                           ,15,2,Uttar Pradesh                                               ,26,24,430,RAMASHANKAR RAJBHAR,BSP,0,Graduate,"Rs 23,05,000  ~ 23 Lacs+",Rs 0  ~
302,363,Amarnath Pradhan,Sambalpur,INC,"Rs 9,98,880 ~ 9 Lacs+",219,272,Shri  Amarnath  Pradhan                                           ,15,2,Orissa                                                      ,26,24,432,Amarnath Pradhan,INC,0,Graduate,"Rs 43,25,000  ~ 43 Lacs+","Rs 4,66,494  ~ 4 Lacs+"
303,364,DR. SHAFIQUR RAHMAN BARQ,Sambhal,BSP,"Rs 18,79,685 ~ 18 Lacs+",234,288,Dr.  Shafiqur Rahman  Barq                                              ,15,2,Uttar Pradesh                                               ,26,25,433,DR. SHAFIQUR RAHMAN BARQ,BSP,0,Graduate,"Rs 70,59,763  ~ 70 Lacs+",Rs 0  ~
304,365,PRATIK PRAKASHBAPU PATIL,Sangli,INC,"Rs 17,80,344 ~ 17 Lacs+",18,53,Shri  Pratik  Patil                                             ,15,2,Maharashtra                                                 ,26,0,434,PRATIK PRAKASHBAPU PATIL,INC,1,Others,"Rs 2,21,37,000  ~ 2 Crore+","Rs 13,58,000  ~ 13 Lacs+"
305,366,VIJAY INDER SINGLA,Sangrur,INC,"Rs 7,24,530 ~ 7 Lacs+",50,85,Shri  Vijay Inder  Singla                                            ,15,2,Punjab                                                      ,26,0,435,VIJAY INDER SINGLA,INC,0,12th Pass,"Rs 3,47,77,859  ~ 3 Crore+","Rs 3,74,957  ~ 3 Lacs+"
306,367,BHISMA SHANKAR ALIAS KUSHAL TIWARI,Sant Kabir Nagar,BSP,"Rs 4,47,007 ~ 4 Lacs+",230,284,Shri  Bhisma  Shankar Alias Kushal Tiwari                       ,15,2,Uttar Pradesh                                               ,26,22,436,BHISMA SHANKAR ALIAS KUSHAL TIWARI,BSP,0,12th Pass,"Rs 3,19,26,944  ~ 3 Crore+","Rs 11,25,920  ~ 11 Lacs+"
307,368,BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,Satara,NCP,"Rs 18,84,788 ~ 18 Lacs+",145,193,Shri   Udayanraje  Bhonsle                                          ,15,2,Maharashtra                                                 ,26,16,438,BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,NCP,14,Others,"Rs 11,72,53,344  ~ 11 Crore+","Rs 18,00,000  ~ 18 Lacs+"
308,369,GANESH SINGH,Satna,BJP,"Rs 18,00,641 ~ 18 Lacs+",435,493,Shri  Ganesh  Singh                                             ,15,2,Madhya Pradesh                                              ,26,22,439,GANESH SINGH,BJP,3,Post Graduate,"Rs 73,72,032  ~ 73 Lacs+","Rs 16,585  ~ 16 Thou+"
309,370,RAJESH NANDINI SINGH,Shahdol,INC,"Rs 11,95,195 ~ 11 Lacs+",115,162,Smt.  Rajesh Nandini  Singh                                             ,15,2,Madhya Pradesh                                              ,26,26,441,RAJESH NANDINI SINGH,INC,0,Graduate,"Rs 1,14,75,000  ~ 1 Crore+","Rs 2,00,000  ~ 2 Lacs+"
310,371,MITHLESH,Shahjahanpur,SP,"Rs 9,41,436 ~ 9 Lacs+",299,354,Shri    Mithlesh Kumar                                    ,15,2,Uttar Pradesh                                               ,26,21,442,MITHLESH,SP,0,Graduate,"Rs 80,35,655  ~ 80 Lacs+","Rs 17,46,024  ~ 17 Lacs+"
311,372,RAMA DEVI,Sheohar,BJP,"Rs 12,86,704 ~ 12 Lacs+",350,406,Smt.    Rama Devi                                         ,15,2,Bihar                                                       ,26,21,443,RAMA DEVI,BJP,5,Graduate Professional,"Rs 6,94,29,234  ~ 6 Crore+","Rs 8,83,367  ~ 8 Lacs+"
312,373,VINCENT H PALA,Shillong,INC,"Rs 9,82,698 ~ 9 Lacs+",43,78,Shri  Vincent H.  Pala                                              ,15,2,Meghalaya                                                   ,26,0,444,VINCENT H PALA,INC,0,Graduate Professional,"Rs 25,16,18,190  ~ 25 Crore+",Rs 0  ~
313,374,VIRENDER KASHYAP,Shimla,BJP,"Rs 9,00,766 ~ 9 Lacs+",391,448,Shri  Virender  Kashyap                                           ,15,2,Himachal Pradesh                                            ,26,24,445,VIRENDER KASHYAP,BJP,0,Post Graduate,"Rs 34,34,928  ~ 34 Lacs+",Rs 0  ~
314,375,B.Y. RAGHAVENDRA,Shimoga,BJP,"Rs 9,58,583 ~ 9 Lacs+",469,528,Shri  B. Y.  Raghavendra                                       ,15,2,Karnataka                                                   ,26,18,446,B.Y. RAGHAVENDRA,BJP,0,Graduate Professional,"Rs 6,62,73,401  ~ 6 Crore+","Rs 42,34,969  ~ 42 Lacs+"
315,376,WAKCHOURE BHAUSAHEB RAJARAM,Shirdi,SHS,"Rs 15,05,938.87 ~ 15 Lacs+",379,435,Shri   Bhausaheb  Rajaram   Wakchaure                               ,15,2,Maharashtra                                                 ,26,17,447,WAKCHOURE BHAUSAHEB RAJARAM,SHS,0,Post Graduate,"Rs 1,78,60,515  ~ 1 Crore+","Rs 24,27,069  ~ 24 Lacs+"
316,377,ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS,"Rs 19,11,500 ~ 19 Lacs+",330,384,Shri  Shivaji  Adhalrao Patil                                    ,15,2,Maharashtra                                                 ,26,11,448,ADHALRAO SHIVAJI DATTATRAY,SHS,4,Post Graduate,"Rs 12,71,13,134  ~ 12 Crore+","Rs 1,62,21,275  ~ 1 Crore+"
317,378,VINAY KUMAR ALIAS VINNU,Shrawasti,INC,"Rs 9,91,118 ~ 9 Lacs+",173,223,"Dr.  Vinay Kumar  Panday ""Vinnu""                                    ",15,2,Uttar Pradesh                                               ,26,24,449,VINAY KUMAR ALIAS VINNU,INC,4,Doctorate,"Rs 1,57,43,200  ~ 1 Crore+","Rs 5,89,157  ~ 5 Lacs+"
318,379,GOVIND PRASAD MISHRA,Sidhi,BJP,"Rs 12,11,086 ~ 12 Lacs+",456,514,Shri  Govind Prasad  Mishra                                            ,15,2,Madhya Pradesh                                              ,26,26,450,GOVIND PRASAD MISHRA,BJP,0,Graduate Professional,"Rs 51,87,425  ~ 51 Lacs+",Rs 0  ~
319,381,Kabindra Purkayastha,Silchar,BJP,"Rs 19,31,725 ~ 19 Lacs+",409,468,Shri  Kabindra  Purkayastha                                       ,15,2,Assam                                                       ,26,14,453,Kabindra Purkayastha,BJP,0,Post Graduate,"Rs 20,98,543  ~ 20 Lacs+","Rs 81,279  ~ 81 Thou+"
320,382,ASHOK TANWAR,Sirsa,INC,"Rs 17,80,864 ~ 17 Lacs+",48,83,Shri  Ashok  Tanwar                                            ,15,2,Haryana                                                     ,26,23,455,ASHOK TANWAR,INC,2,Post Graduate,"Rs 2,36,64,959  ~ 2 Crore+",Rs 0  ~
321,383,ARJUN ROY,Sitamarhi,JD(U),"Rs 16,18,761 ~ 16 Lacs+",357,413,Shri  Arjun  Roy                                               ,15,2,Bihar                                                       ,26,19,456,ARJUN ROY,JD(U),0,Doctorate,"Rs 29,07,146  ~ 29 Lacs+","Rs 4,62,913  ~ 4 Lacs+"
322,384,KAISAR JAHAN,Sitapur,BSP,"Rs 17,63,489 ~ 17 Lacs+",260,313,Smt.  Kaisar  Jahan                                             ,15,2,Uttar Pradesh                                               ,26,12,457,KAISAR JAHAN,BSP,0,8th Pass,"Rs 65,53,956  ~ 65 Lacs+",Rs 0  ~
323,386,OmPrakashYadav,Siwan,IND,"Rs 13,41,715 ~ 13 Lacs+",197,249,Shri  Om Prakash  Yadav                                             ,15,2,Bihar                                                       ,26,18,459,OmPrakashYadav,IND,1,Graduate,"Rs 30,32,500  ~ 30 Lacs+",Rs 0  ~
324,388,JITENDER SINGH,Sonipat,INC,"Rs 10,54,980 ~ 10 Lacs+",13,38,Shri  Jitender  Singh                                             ,15,2,Haryana                                                     ,26,0,461,JITENDER SINGH,INC,0,Graduate Professional,"Rs 17,79,080  ~ 17 Lacs+",Rs 0  ~
325,389,RAMESH KUMAR,South Delhi,INC,"Rs 18,63,464 ~ 18 Lacs+",54,91,Shri  Ramesh  Kumar                                             ,15,2,Delhi                                                       ,26,26,462,RAMESH KUMAR,INC,0,10th Pass,"Rs 2,58,45,997  ~ 2 Crore+","Rs 3,29,812  ~ 3 Lacs+"
326,390,COSME FRANCISCO CAITANO SARDINHA,South Goa,INC,"Rs 10,30,814 ~ 10 Lacs+",81,126,Shri  Francisco  Sardinha                                          ,15,2,Goa                                                         ,26,25,463,COSME FRANCISCO CAITANO SARDINHA,INC,0,Graduate Professional,"Rs 2,94,73,470  ~ 2 Crore+","Rs 4,43,500  ~ 4 Lacs+"
327,391,KALYAN BANERJEE,Sreerampur,AITC,"Rs 9,07,777 ~ 9 Lacs+",148,196,Shri  Kalyan  Banerjee                                          ,15,2,West Bengal                                                 ,26,21,464,KALYAN BANERJEE,AITC,0,Graduate Professional,"Rs 1,61,46,266  ~ 1 Crore+","Rs 21,25,000  ~ 21 Lacs+"
328,393,BAALU T R,Sriperumbudur,DMK,"Rs 5,21,150 ~ 5 Lacs+",60,99,Shri  T.R.  Baalu                                             ,15,2,Tamil Nadu                                                  ,26,22,467,BAALU T R,DMK,0,Graduate,"Rs 7,69,71,478  ~ 7 Crore+",Rs 0  ~
329,394,DR.SANJAY SINGH,Sultanpur,INC,"Rs 10,43,965 ~ 10 Lacs+",85,130,Dr.  Sanjay  Singh                                             ,15,2,Uttar Pradesh                                               ,26,20,468,DR.SANJAY SINGH,INC,0,Doctorate,"Rs 6,22,59,720  ~ 6 Crore+",Rs 0  ~
330,395,HEMANAND BISWAL,Sundargarh,INC,"Rs 16,09,358 ~ 16 Lacs+",220,273,Shri  Hemanand  Biswal                                            ,15,2,Orissa                                                      ,26,24,469,HEMANAND BISWAL,INC,0,12th Pass,"Rs 39,65,226  ~ 39 Lacs+",Rs 0  ~
331,396,VISHWA MOHAN KUMAR,Supaul,JD(U),"Rs 21,91,979 ~ 21 Lacs+",346,402,Shri  Vishwa Mohan  Kumar                                             ,15,2,Bihar                                                       ,26,22,470,VISHWA MOHAN KUMAR,JD(U),0,Post Graduate,"Rs 66,89,616  ~ 66 Lacs+","Rs 4,40,179  ~ 4 Lacs+"
332,397,DARSNABEN VIKRAMBHAI JARDOS,Surat,BJP,"Rs 12,87,682 ~ 12 Lacs+",369,425,Smt.  Darshana  Jardosh                                           ,15,2,Gujarat                                                     ,26,23,471,DARSNABEN VIKRAMBHAI JARDOS,BJP,1,Graduate,"Rs 90,21,338  ~ 90 Lacs+","Rs 3,95,000  ~ 3 Lacs+"
333,398,SOMABHAI GANDABHAI KOLIPATEL,Surendranagar,INC,"Rs 10,40,901 ~ 10 Lacs+",73,117,Shri  Somabhai Gandalal Koli  Patel                                             ,15,2,Gujarat                                                     ,26,21,472,SOMABHAI GANDABHAI KOLIPATEL,INC,0,5th Pass,"Rs 1,86,18,718  ~ 1 Crore+",Rs 0  ~
